N°,Nombre,Imagen,Tipo,Fuerza,Coste de oro,Raza,Frecuencia,Edición,Habilidad,Código,Arte,Texto épico
0,Odín,https://static.wikia.nocookie.net/myl-tcg/images/2/2d/ElReto-001.jpg/revision/latest?cb=20221115064757&path-prefix=es,Talismán,Sin Fuerza,1,Sin Raza,Real,El Reto,Busca una carta de tu castillo y ponla en tu mano (luego debes volver a barajar tu mazo castillo).,1 - 126 / Primera edición,Mauricio Herrera,"Posee la sabiduría del tiempo y el poder del universo. Desde su trono eterno crea la magia, la poesía y las ciencias."
1,Espada Real,https://static.wikia.nocookie.net/myl-tcg/images/6/65/Espada_Real_Reto.png/revision/latest?cb=20200928052052&path-prefix=es,Oro,Sin Fuerza,Sin Costo,Sin Raza,Sin Frecuencia,El Reto,Sin Habilidad,2 - 126 / Primera edición,Waldo Retamales,El delgado filo que separa la justicia de la infamia. La sangre como única evidencia de su poder.
2,Argonautas,https://static.wikia.nocookie.net/myl-tcg/images/5/55/Argonautas.png/revision/latest?cb=20200928060823&path-prefix=es,Aliado,1,2,Sin Raza,Vasallo,El Reto,Sin Habilidad,3 - 126 / Primera edición,Mauricio Herrera,La heroica travesía del navío Argos trasciende el tiempo. El universo se estremece ante su implacable presencia.
3,Rey Mono,https://static.wikia.nocookie.net/myl-tcg/images/d/d3/4_-_Rey_Mono.png/revision/latest?cb=20200928194339&path-prefix=es,Aliado,3,5,Sin Raza,Vasallo,El Reto,Sin Habilidad,4 - 126 / Primera edición,Mauricio Herrera,"Mil aventuras ha soportado su cuerpo, eslabón perdido entre dos mundos en pugna constante."
4,Grootslang,https://static.wikia.nocookie.net/myl-tcg/images/9/9f/Grootslang.png/revision/latest?cb=20200929041029&path-prefix=es,Aliado,1,2,Sin Raza,Real,El Reto,"Puedes destruirlo, buscar un oro en tu castillo y ponerlo en juego.",5 - 126 / Primera edición,Mauricio Herrera,"Fría mirada de diamante, peligroso custodio de la “sima sin fondo”, gruta llena de riquezas."
5,Gorgonas,https://static.wikia.nocookie.net/myl-tcg/images/2/22/Gorgonas.png/revision/latest?cb=20221115080140&path-prefix=es,Talismán,Sin Fuerza,2,Sin Raza,Vasallo,El Reto,"Una carta de tu oponente que tú elijas tendrá fuerza ""0"" hasta el final del turno.",6 - 126 / Primera edición,Mauricio Herrera,Desde las fondos marinos surgen tres hermanas perversas. Cabellos de serpientes y ojos de muerte.
6,Guerrero Jaguar,https://static.wikia.nocookie.net/myl-tcg/images/6/63/Guerrero_Jaguar_Reto.png/revision/latest?cb=20200929061419&path-prefix=es,Aliado,1,3,Sin Raza,Cortesano,El Reto,"Cuando ataca, gana + 1 a la fuerza hasta el final del turno.",7 - 126 / Primera edición,Mauricio Herrera,Su felina habilidad cruza generaciones. El tiempo jamás será un obstáculo.
7,Lámpara Mágica,https://static.wikia.nocookie.net/myl-tcg/images/d/de/L%C3%A1mpara_M%C3%A1gica.png/revision/latest?cb=20200929190042&path-prefix=es,Oro,Sin Fuerza,Sin Costo,Sin Raza,Sin Frecuencia,El Reto,Sin Habilidad,8 - 126 / Primera Edición,David Bueno,"Sortilegios milenarios se ocultan en su interior, esperando la señal del elegido para liberarlos."
8,Pegaso,https://static.wikia.nocookie.net/myl-tcg/images/9/94/Pegaso.png/revision/latest?cb=20200929215428&path-prefix=es,Aliado,1,1,Sin Raza,Cortesano,El Reto,"Si Pegaso es destruido, uno de tus aliados gana +1 a la fuerza permanentemente.",9 - 126 / Primera Edición,Cristian Aguirre,Indomable corcel alado. En su vuelo se percibe la imagen del alma inmortal en viaje a la eternidad.
9,Grifo,https://static.wikia.nocookie.net/myl-tcg/images/5/57/Grifo.png/revision/latest?cb=20200930015038&path-prefix=es,Aliado,2,5,Sin Raza,Vasallo,El Reto,Sin Habilidad,10 - 126 / Primera Edición,Cristian Aguirre,No oses adentrarte en sus dominios ni codiciar sus tesoros. Este fabuloso animal no conoce la piedad con los intrusos.
